#    frfrq      xpoln     frmsfd      msfdrat
#
1711.982056  90.321426  14.518403   6.221168 
1711.773071  89.228569  16.856380   5.293459 
1711.564087  88.842850  19.194359   4.628592 
1711.355103  88.714287  21.532337   4.120049 
1711.146118  88.714287  23.870314   3.716511 
1710.937012  88.778572  26.209658   3.387247 
1710.728149  88.842850  28.546270   3.112240 
1710.519043  89.035713  30.885614   2.882757 
1710.310181  89.935715  33.222225   2.707095 
1710.101074  90.449997  35.561569   2.543476 
1709.892334  89.742859  37.896816   2.368084 
1709.683228  90.064285  40.236160   2.238392 
1709.474365  90.385719  42.572773   2.123087 
1709.265259  90.771423  44.912113   2.021090 
1709.056396  91.221428  47.248726   1.930664 
1708.847290  91.607140  49.588070   1.847363 
1708.638306  92.121422  51.926048   1.774089 
1708.429321  92.635719  54.264027   1.707129 
1708.220337  93.278572  56.602005   1.647973 
1708.011353  93.985710  58.939983   1.594600 
1707.802368  94.821426  61.277958   1.547399 
1707.593384  95.400002  63.615936   1.499624 
1707.384521  95.849998  65.952553   1.453318 
1707.175537  97.007141  68.290527   1.420507 
1706.966553  97.328568  70.628502   1.378035 
1706.757568  98.357140  72.966484   1.347977 
1706.548462  99.128563  75.305824   1.316347 
1706.339600  99.642860  77.642441   1.283356 
1706.130493 100.414284  79.981781   1.255464 
1705.921631 101.185715  82.318398   1.229199 
1705.712524 102.214287  84.657738   1.207383 
1705.503662 103.114281  86.994347   1.185299 
1705.294556 104.142860  89.333694   1.165774 
1705.085693 104.914284  91.670303   1.144474 
1704.876709 106.135719  94.008286   1.129004 
1704.667725 107.164284  96.346260   1.112283 
1704.458740 108.192863  98.684242   1.096354 
1704.249756 109.221428 101.022217   1.081162 
1704.040771 110.314285 103.360191   1.067280 
1703.831787 111.471428 105.698174   1.054620 
1703.622803 112.692863 108.036148   1.043103 
1703.413818 113.978577 110.374130   1.032657 
1703.204834 115.328568 112.712105   1.023214 
1702.995850 116.678574 115.050087   1.014155 
1702.786865 119.507133 117.388062   1.018052 
1702.577881 120.471428 119.726036   1.006226 
1702.369019 121.821426 122.062653   0.998024 
1702.159912 123.492867 124.401993   0.992692 
1701.951050 125.035713 126.738609   0.986564 
1701.741943 126.450005 129.077652   0.979643 
1701.533081 127.864296 131.412888   0.972997 
1701.323975 129.471420 133.748917   0.968018 
1701.115112 131.078568 136.079453   0.963250 
1700.906006 132.750000 138.409103   0.959113 
1700.697021 134.100006 140.732941   0.952869 
1700.488037 134.999985 143.051437   0.943716 
1700.279175 136.349991 145.362442   0.938000 
1700.070190 137.185699 147.667816   0.929016 
1699.861206 138.599991 149.965347   0.924213 
1699.652222 140.271423 152.254181   0.921298 
1699.443237 141.750015 154.533493   0.917277 
1699.234253 143.100006 156.802429   0.912613 
1699.025269 144.835724 159.060150   0.910572 
1698.816284 146.507156 161.305801   0.908257 
1698.607178 148.371429 163.539841   0.907249 
1698.398315 150.107147 165.757538   0.905583 
1698.189209 151.971420 167.963211   0.904790 
1697.980347 153.835709 170.150879   0.904114 
1697.771362 155.699997 172.323532   0.903533 
1697.562500 158.014282 174.477798   0.905641 
1697.353394 160.007156 176.616608   0.905958 
1697.144531 162.064285 178.734100   0.906734 
1696.935425 163.992844 180.834396   0.906868 
1696.726562 165.599991 182.911743   0.905355 
1696.517456 167.271439 184.970139   0.904316 
1696.308472 169.199997 187.005127   0.904788 
1696.099487 171.192856 189.017075   0.905701 
1695.890503 173.121429 191.005142   0.906371 
1695.681519 175.178589 192.968460   0.907809 
1695.472656 177.235718 194.905075   0.909344 
1695.263672 179.421417 196.816406   0.911618 
1695.054688 181.478561 198.700470   0.913327 
1694.845703 183.664276 200.556427   0.915774 
1694.636719 185.785721 202.383408   0.917989 
1694.427734 188.035736 204.180588   0.920929 
1694.218628 190.221436 205.948166   0.923637 
1694.009766 192.471420 207.682190   0.926759 
1693.800659 194.721436 209.385895   0.929964 
1693.591797 196.971420 211.054443   0.933273 
1693.382690 199.414291 212.690872   0.937578 
1693.173828 202.564285 214.290558   0.945279 
1692.964844 204.171417 215.855499   0.945871 
1692.755981 206.035736 217.382965   0.947801 
1692.546875 207.964279 218.874786   0.950152 
1692.337891 211.628571 220.327560   0.960518 
1692.128906 214.071426 221.742111   0.965407 
1691.919922 216.835709 223.118866   0.971839 
1691.710938 219.278564 224.458282   0.976923 
1691.501953 222.171432 225.760788   0.984101 
1691.292969 225.000000 227.026825   0.991072 
1691.083984 227.828568 228.256821   0.998124 
1690.875000 230.785721 229.451218   1.005816 
1690.666138 234.514267 230.609787   1.016931 
1690.457153 236.442841 231.734314   1.020319 
1690.248047 239.849991 232.825165   1.030172 
1690.039185 243.064285 233.880936   1.039265 
1689.830078 246.342865 234.904480   1.048694 
1689.621216 249.685699 235.893890   1.058466 
1689.412109 253.157135 236.851898   1.068841 
1689.203247 256.628571 237.776703   1.079284 
1688.994141 260.292847 238.670929   1.090593 
1688.785278 263.892853 239.532867   1.101698 
1688.576172 267.750000 240.365021   1.113931 
1688.367188 271.478546 241.166321   1.125690 
1688.158325 276.171417 241.937241   1.141500 
1687.949341 283.500031 242.679169   1.168209 
1687.740356 311.271423 243.392044   1.278889 
1687.531372 294.235748 244.076324   1.205507 
1687.322388 295.135712 244.732437   1.205953 
1687.113403 297.000000 245.360809   1.210462 
1686.904419 301.435699 245.961899   1.225538 
1686.695435 306.064270 246.536133   1.241458 
1686.486450 310.435730 247.083954   1.256398 
1686.277344 314.935730 247.606079   1.271922 
1686.068481 319.435730 248.102081   1.287517 
1685.859497 323.742889 248.573257   1.302404 
1685.650635 328.435699 249.019531   1.318915 
1685.441528 332.292816 249.442062   1.332144 
1685.232666 337.114288 249.840302   1.349319 
1685.023560 341.100037 250.215683   1.363224 
1684.814697 345.342865 250.567673   1.378242 
1684.605591 349.328613 250.897614   1.392315 
1684.396606 352.992889 251.205292   1.405197 
1684.187622 356.014313 251.491364   1.415612 
1683.978638 358.842834 251.756256   1.425358 
1683.769653 361.285706 252.000427   1.433671 
1683.560669 363.535706 252.224289   1.441319 
1683.351807 365.078583 252.428192   1.446267 
1683.142822 366.235687 252.612793   1.449791 
1682.933838 367.007111 252.778412   1.451893 
1682.724854 367.264252 252.925461   1.452065 
